id,title,release_year,release_month,release_day_of_week,original_language,popularity,vote_average,vote_count,budget,revenue,budget_adj,revenue_adj,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War,genre_Western,season,season_Dump_Months,season_Holiday_Season,season_Spring_Fall,season_Summer_Blockbuster,is_franchise,director_score,actor_score
1359,American Psycho,2000,1,Friday,en,12.4847,7.407,11995,7000000,34269748,13087113.82113821,64070298.95681765,102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Dump_Months,1,0,0,0,1,0.0,0.0
1907,The Beach,2000,2,Thursday,en,3.3287,6.483,4625,40000000,144056873,74783507.5493612,269326956.2383217,119,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Dump_Months,1,0,0,0,0,0.0,0.0
4234,Scream 3,2000,2,Friday,en,7.6994,6.007,3921,40000000,161838076,74783507.5493612,302570474.4580023,116,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Dump_Months,1,0,0,0,1,0.0,0.0
15655,The Tigger Movie,2000,2,Friday,en,2.6674,6.577,602,30000000,45554533,56087630.66202091,85168194.06282811,77,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Dump_Months,1,0,0,0,0,0.0,0.0
2069,The Whole Nine Yards,2000,2,Friday,en,2.6787,6.463,2029,41300000,106371651,77213971.54471545,198871129.13991287,98,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dump_Months,1,0,0,0,1,0.0,0.0
11075,Audition,2000,3,Friday,ja,3.0688,7.1,1718,250000,359853,467396.92218350753,672776.7385540069,115,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Spring_Fall,0,0,1,0,0,0.0,0.0
25212,Deterrence,2000,3,Friday,en,3.9697,6.1,36,800000,145071,1495670.1509872242,271222.9555923345,101,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Spring_Fall,0,0,1,0,0,0.0,0.0
2067,Mission to Mars,2000,3,Friday,en,2.6299,6.003,1530,90000000,110983407,168262891.9860627,207493211.38095817,114,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Spring_Fall,0,0,1,0,0,0.0,0.0
9532,Final Destination,2000,3,Friday,en,7.6834,6.629,6517,23000000,112880294,43000516.840882696,211039607.9630778,98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Spring_Fall,0,0,1,0,1,0.0,0.0
462,Erin Brockovich,2000,3,Friday,en,4.788,7.437,3555,52000000,256271286,97218559.81416956,479121641.2816376,131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Spring_Fall,0,0,1,0,0,0.0,0.0
243,High Fidelity,2000,3,Friday,en,2.737,7.128,2142,30000000,47100000,56087630.66202091,88057580.13937283,113,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Spring_Fall,0,0,1,0,0,0.0,0.0
2085,Romeo Must Die,2000,3,Wednesday,en,3.4808,6.264,1304,25000000,91036760,46739692.21835075,170201205.7182346,115,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Spring_Fall,0,0,1,0,0,0.0,0.0
2332,Taxi 2,2000,3,Saturday,fr,2.6755,6.271,1852,10500000,64433844,19630670.73170732,120464721.48020904,82,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Spring_Fall,0,0,1,0,1,0.0,0.0
10501,The Road to El Dorado,2000,3,Friday,en,4.5205,7.255,3982,95000000,76400000,177610830.42973286,142836499.4192799,89,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Spring_Fall,0,0,1,0,0,0.0,0.0
